,eq,60N,60S
1980-09-20,-17.01926809567371,10.12154837504004,70.01045312028162
1980-09-21,-17.28745143138234,10.642524657459013,68.31176354533157
1980-09-22,-17.302937530897076,10.931751537238952,66.99492109461521
1980-09-23,-17.435787585002544,10.565700293674093,69.52991062600961
1980-09-24,-17.764411652122,10.809648638828518,75.42135301377307
1980-09-25,-17.62528928247014,11.580083173362755,75.7034191713138
1980-09-26,-17.764147160433808,12.408438471372623,73.36985103729539
1980-09-27,-17.92755376785777,12.103996774271435,72.13634926164815
1980-09-28,-18.338067101636337,12.852981999337446,71.9853104287647
1980-09-29,-18.191537393703253,13.165680540310825,72.56407078622145
1980-09-30,-18.543871788710696,14.041335220108929,69.94205313721055
1980-10-01,-18.759607401146972,14.527395391791135,65.25472655908786
1980-10-02,-19.03647463830575,15.792819998456977,62.01961086071443
1980-10-03,-19.406406264976184,16.549472152755566,59.729084600504336
1980-10-04,-19.5825304899852,17.79890409984941,57.98587680364814
1980-10-05,-19.557722099354258,18.711772883947297,55.43072618075212
1980-10-06,-19.55462656699661,19.764573319727763,57.10275198188485
1980-10-07,-19.634700209411726,19.098360401000047,53.500119572782204
1980-10-08,-20.046916561997737,18.35191569469691,47.28140965516867
1980-10-09,-19.846000869041937,18.284197622244875,42.30743502754994
1980-10-10,-20.04094401221309,17.10968619264618,41.340239080904766
1980-10-11,-20.09908538147458,15.93778809492614,39.40430306595975
1980-10-12,-20.232299487537002,15.529093238937014,41.39622702632424
1980-10-13,-20.263732715656975,15.618648335529151,46.27816800855813
1980-10-14,-20.23301286421629,16.590686220877714,50.60617856425721
1980-10-15,-20.18667507844605,16.341244230563486,48.56916711881858
1980-10-16,-20.237477399016438,17.252434111304485,45.30283007624428
1980-10-17,-20.491600761637326,16.755832868680947,42.54037537086317
1980-10-18,-20.421940879267957,15.49732179322804,42.36267013853845
1980-10-19,-20.924889055991706,14.767743757654475,40.9833065202047
1980-10-20,-20.986513932984757,13.659090092348427,38.90244357619283
1980-10-21,-20.934560844693102,14.041131517905777,38.01094473086129
1980-10-22,-21.237167656620393,13.282049578116172,34.064402763502414
1980-10-23,-21.499617828183162,12.138700386985668,32.42347145368361
1980-10-24,-21.622592503824944,11.909441274055567,32.532779126613526
1980-10-25,-21.936019808087625,11.020768378140394,33.58118221544864
1980-10-26,-21.98456739151677,12.57440993791891,34.77332534014611
1980-10-27,-22.005709878440523,14.721287404868622,36.278554769855596
1980-10-28,-22.08279840263894,15.982874947064536,35.83559564311679
1980-10-29,-22.19862220247933,17.66354254669228,34.243051847792415
1980-10-30,-22.141162435457204,19.21729175759517,34.28898719068818
1980-10-31,-22.517611794516856,21.013322090317356,34.517741786671465
1980-11-01,-23.08944070139477,22.583646503227115,34.328648020504545
1980-11-02,-23.48436218802527,24.807819293606677,30.97182217040072
1980-11-03,-23.977977216112404,25.6743113955685,28.885814883583155
1980-11-04,-23.819623571122857,25.484770999429532,27.258462355087925
1980-11-05,-24.504794314742824,24.70150751421269,24.028965233724247
